ModelName;EpochBest;EpochsTotal;Score
fashionmnist_edges_topk_no;17;20;0.898137
fashionmnist_edges_topk;17;20;0.899139
fashionmnist_None;20;20;0.897636
fashionmnist_edges_random_no;12;20;0.902845
fashionmnist_edges_random;12;20;0.898137
fashionmnist_nodes_topk_no;16;20;0.900641
fashionmnist_nodes_topk;20;20;0.897736
cifar10_edges_topk_no;12;20;0.635617
cifar10_edges_topk;12;20;0.63772
cifar10_nodes_topk_no;10;20;0.655248
cifar10_nodes_topk;10;20;0.64994
cifar10_None;9;20;0.643429
cifar10_edges_random_no;13;20;0.658754
cifar10_edges_random;13;20;0.635216
mnist_edges_topk_no;15;20;0.992588
mnist_edges_topk;14;20;0.991787
mnist_nodes_topk_no;20;20;0.992989
mnist_nodes_topk;20;20;0.99349
mnist_None;10;20;0.991486
mnist_edges_random_no;8;20;0.990685
mnist_edges_random;6;20;0.989984
mnist_edges_random_no;8;20;0.992688
mnist_edges_random;16;20;0.991587
mnist_edges_topk_no;15;20;0.992688
mnist_edges_topk;15;20;0.993089
cifar10_edges_random_no;14;20;0.648738
cifar10_edges_random;16;20;0.63742
mnist_nodes_topk_no;10;20;0.992188
mnist_nodes_topk;10;20;0.991286
mnist_None;7;20;0.990385
mnist_loss_01;9;20;0.990485
cifar10_edges_topk_no;8;20;0.640725
cifar10_edges_topk;8;20;0.647336
mnist_loss_001;12;20;0.990685
fashionmnist_edges_random_no;13;20;0.907151
fashionmnist_edges_random;13;20;0.902945
cifar10_nodes_topk_no;15;20;0.654547
cifar10_nodes_topk;10;20;0.649239
fashionmnist_edges_topk_no;13;20;0.903045
fashionmnist_edges_topk;13;20;0.903045
fashionmnist_nodes_topk_no;9;20;0.902043
fashionmnist_nodes_topk;16;20;0.898438
fashionmnist_None;12;20;0.901843
cifar10_None;7;20;0.635317
fashionmnist_loss_01;16;20;0.876903
fashionmnist_loss_001;9;20;0.896835
cifar10_loss_01;10;20;0.643029
mnist_edges_random_no;16;20;0.992288
mnist_edges_random;14;20;0.992188
mnist_edges_topk_no;18;20;0.991987
mnist_edges_topk;18;20;0.992388
cifar10_loss_001;6;20;0.645733
mnist_nodes_topk_no;8;20;0.992388
mnist_nodes_topk;17;20;0.990485
mnist_None;14;20;0.991887
mnist_loss_01;16;20;0.992288
cifar10_edges_random_no;20;20;0.653546
cifar10_edges_random;20;20;0.632512
mnist_loss_001;9;20;0.991687
fashionmnist_edges_random_no;20;20;0.905449
fashionmnist_edges_random;15;20;0.896635
fashionmnist_edges_topk_no;14;20;0.89984
fashionmnist_edges_topk;14;20;0.899539
cifar10_edges_topk_no;7;20;0.641026
cifar10_edges_topk;7;20;0.645232
fashionmnist_None;11;20;0.900341
cifar10_nodes_topk_no;14;20;0.641827
cifar10_nodes_topk;14;20;0.636418
mnist_loss_01;20;20;0.991587
cifar10_None;8;20;0.649639
mnist_loss_001;14;20;0.990885
cifar10_loss_01;11;20;0.651442
fashionmnist_loss_01;20;20;0.8752
fashionmnist_loss_001;13;20;0.901342
cifar10_loss_001;13;20;0.639423
fashionmnist_loss_01;19;20;0.877404
fashionmnist_loss_001;20;20;0.904948
cifar10_loss_01;20;20;0.644231
cifar10_loss_001;8;20;0.653846
fashionmnist_loss_01;20;20;0.872496
fashionmnist_loss_001;16;20;0.902744
