ModelName;EpochBest;EpochsTotal;Sparse;Score
mnist_:none:1:?:single:;15;30;none;0.99389
mnist_:none:1:?:single:;26;30;none;0.994091
mnist_:none:1:?:single:;14;20;none;0.992989
mnist_:none:2:?:single:;12;20;none;0.992188
mnist_:none:2:?:single:;18;20;none;0.991987
mnist_:none:2:?:single:;13;20;none;0.990685
mnist_:none:3:?:single:;18;20;none;0.990885
mnist_:none:3:?:single:;18;20;none;0.991386
mnist_:none:3:?:single:;17;20;none;0.991587
fashionmnist_:none:1:?:single:;19;20;none;0.911659
fashionmnist_:none:1:?:single:;18;20;none;0.910256
fashionmnist_:none:1:?:single:;18;20;none;0.911959
fashionmnist_:none:2:?:single:;20;20;none;0.902244
fashionmnist_:none:2:?:single:;18;20;none;0.905849
fashionmnist_:none:2:?:single:;14;20;none;0.902344
fashionmnist_:none:3:?:single:;12;20;none;0.898037
fashionmnist_:none:3:?:single:;19;20;none;0.902143
fashionmnist_:none:3:?:single:;24;30;none;0.901743
mnist_:nodes_topk_0.0-0.6:1:405:double:_no;18;30;nodes_topk_0.0-0.6;0.99379
mnist_:nodes_topk_0.0-0.6:1:405:double:;18;30;nodes_topk_0.0-0.6;0.99379
mnist_:nodes_topk_0.0-0.6:1:411:double:_no;17;30;nodes_topk_0.0-0.6;0.993389
mnist_:nodes_topk_0.0-0.6:1:411:double:;17;30;nodes_topk_0.0-0.6;0.993389
mnist_:nodes_topk_0.0-0.6:1:402:double:_no;23;30;nodes_topk_0.0-0.6;0.99369
mnist_:nodes_topk_0.0-0.6:1:402:double:;23;30;nodes_topk_0.0-0.6;0.99369
mnist_:nodes_topk_0.0-0.6:1:411:single:_no;19;30;nodes_topk_0.0-0.6;0.993089
mnist_:nodes_topk_0.0-0.6:1:411:single:;19;30;nodes_topk_0.0-0.6;0.993089
mnist_:nodes_topk_0.0-0.6:1:405:single:_no;14;30;nodes_topk_0.0-0.6;0.993289
mnist_:nodes_topk_0.0-0.6:1:405:single:;14;30;nodes_topk_0.0-0.6;0.993289
mnist_:nodes_topk_0.0-0.6:1:402:single:_no;17;30;nodes_topk_0.0-0.6;0.99389
mnist_:nodes_topk_0.0-0.6:1:402:single:;17;30;nodes_topk_0.0-0.6;0.99389
mnist_:nodes_topk_0.0-0.6:2:405:double:_no;20;30;nodes_topk_0.0-0.6;0.993189
mnist_:nodes_topk_0.0-0.6:2:405:double:;20;30;nodes_topk_0.0-0.6;0.993189
mnist_:nodes_topk_0.0-0.6:2:411:double:_no;11;30;nodes_topk_0.0-0.6;0.992488
mnist_:nodes_topk_0.0-0.6:2:411:double:;11;30;nodes_topk_0.0-0.6;0.992488
mnist_:nodes_topk_0.0-0.6:2:402:double:_no;19;30;nodes_topk_0.0-0.6;0.993189
mnist_:nodes_topk_0.0-0.6:2:402:double:;19;30;nodes_topk_0.0-0.6;0.993189
mnist_:nodes_topk_0.0-0.6:2:405:single:_no;23;30;nodes_topk_0.0-0.6;0.992989
mnist_:nodes_topk_0.0-0.6:2:405:single:;23;30;nodes_topk_0.0-0.6;0.992989
mnist_:nodes_topk_0.0-0.6:2:411:single:_no;24;30;nodes_topk_0.0-0.6;0.991987
mnist_:nodes_topk_0.0-0.6:2:411:single:;24;30;nodes_topk_0.0-0.6;0.991987
mnist_:nodes_topk_0.0-0.6:2:402:single:_no;20;30;nodes_topk_0.0-0.6;0.992087
mnist_:nodes_topk_0.0-0.6:2:402:single:;20;30;nodes_topk_0.0-0.6;0.992087
mnist_:nodes_topk_0.0-0.6:3:405:double:_no;20;30;nodes_topk_0.0-0.6;0.992688
mnist_:nodes_topk_0.0-0.6:3:405:double:;7;30;nodes_topk_0.0-0.6;0.991086
mnist_:nodes_topk_0.0-0.6:3:411:double:_no;13;30;nodes_topk_0.0-0.6;0.991587
mnist_:nodes_topk_0.0-0.6:3:411:double:;28;30;nodes_topk_0.0-0.6;0.990885
mnist_:nodes_topk_0.0-0.6:3:402:double:_no;19;30;nodes_topk_0.0-0.6;0.992188
mnist_:nodes_topk_0.0-0.6:3:402:double:;29;30;nodes_topk_0.0-0.6;0.992188
mnist_:nodes_topk_0.0-0.6:3:405:single:_no;19;30;nodes_topk_0.0-0.6;0.988181
mnist_:nodes_topk_0.0-0.6:3:405:single:;19;30;nodes_topk_0.0-0.6;0.988281
mnist_:nodes_topk_0.0-0.6:3:411:single:_no;9;30;nodes_topk_0.0-0.6;0.0954527
mnist_:nodes_topk_0.0-0.6:3:411:single:;9;30;nodes_topk_0.0-0.6;0.100661
mnist_:nodes_topk_0.0-0.6:3:402:single:_no;15;30;nodes_topk_0.0-0.6;0.98738
mnist_:nodes_topk_0.0-0.6:3:402:single:;14;30;nodes_topk_0.0-0.6;0.985477
